"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","POL","Poland","2021","2021",36.04934,"+","National Estimation"
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","1998","1998",15.28708,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","1999","1999",16.97821,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2000","2000",18.94224,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2001","2001",20.79452,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2002","2002",25.76869,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2003","2003",30.48664,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2004","2004",34.01194,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2005","2005",38.01156,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2006","2006",36.46178,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2007","2007",33.88616,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2008","2008",31.46646,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2009","2009",30.44743,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2010","2010",28.11743,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2011","2011",27.45654,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2012","2012",26.87586,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2013","2013",27.72675,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2014","2014",28.47232,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2015","2015",28.7982,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2016","2016",30.24543,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2018","2018",32.75634,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2019","2019",33.45718,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2020","2020",33.73412,,
"GGR_6T7_M","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)","ITA","Italy","2021","2021",35.04334,,
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2001","2001",16.30072,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2003","2003",15.5887,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2005","2005",17.85812,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2006","2006",18.99684,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2007","2007",19.01222,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2008","2008",18.57919,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2009","2009",19.6737,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2010","2010",20.05451,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2011","2011",21.08261,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2013","2013",22.81099,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2014","2014",23.24158,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2015","2015",24.20557,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2016","2016",28.92976,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2017","2017",30.04312,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","MEX","Mexico","2021","2021",35.99713,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","1999","1999",21.71806,,
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2000","2000",22.74576,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2001","2001",26.71754,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2002","2002",25.55117,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2003","2003",27.24461,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2004","2004",32.36531,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2005","2005",34.78764,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2006","2006",42.41242,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2007","2007",50.26833,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2008","2008",76.14909,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2009","2009",80.7797,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2010","2010",65.73383,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2011","2011",61.61566,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2012","2012",60.07942,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2013","2013",57.29385,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2014","2014",54.48079,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2015","2015",51.41056,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2017","2017",47.04592,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2018","2018",46.9214,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2019","2019",41.5039,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2020","2020",41.24789,"+","National Estimation"
"GGR_6T7_F","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)","SVK","Slovakia","2021","2021",45.04677,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2001","2001",18.35037,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2002","2002",19.07699,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2006","2006",19.88233,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2008","2008",28.46881,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2009","2009",19.16929,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2010","2010",19.68413,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2011","2011",18.12588,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2012","2012",18.35041,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2013","2013",43.27168,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2014","2014",44.00646,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2016","2016",28.70422,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2017","2017",30.62312,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2018","2018",50.50419,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2019","2019",48.88864,"+","National Estimation"
"GGR_6T7","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)","BEL","Belgium","2020","2020",54.52816,"+","National Estimation"
