Country,Year,GDP per Capita
GBR,2019,49220.202708
GBR,2020,45756.801675
USA,2013,53116.521969
USA,2014,54914.368228
USA,2015,56520.609227
USA,2016,57592.691515
USA,2017,59589.233923
USA,2018,62449.612827
USA,2019,64690.272395
USA,2020,63480.861222
CHL,2013,22295.740021
CHL,2014,22650.712398
CHL,2015,22563.582179
CHL,2016,23384.612377
CHL,2017,24479.458726
CHL,2018,25496.431051
CHL,2019,25509.445481
CHL,2020,24738.720579
COL,2013,13266.002148
COL,2014,13777.241959
COL,2015,13762.750912
COL,2016,14514.224389
COL,2017,14930.865719
COL,2018,15814.696386
COL,2019,16484.762795
COL,2020,15614.989482
EST,2013,27418.689637
EST,2014,28917.833656
EST,2015,29222.748082
EST,2016,31310.152103
EST,2017,33867.803542
EST,2018,36488.637421
EST,2019,39068.367072
EST,2020,39460.614767
ISR,2013,34744.038069
ISR,2014,34729.392705
ISR,2015,35795.506413
ISR,2016,38084.528912
ISR,2017,39352.294675
ISR,2018,40082.466095
ISR,2019,40663.6287
ISR,2020,40073.058669
SVN,2013,29979.618841
SVN,2014,30872.72888
SVN,2015,31631.838376
SVN,2016,33942.76789
SVN,2017,36517.579273
SVN,2018,39008.297051
SVN,2019,42118.699287
SVN,2020,40885.50612
LVA,2013,22637.197211
LVA,2014,23810.217954
LVA,2015,24975.480143
LVA,2016,26724.459918
LVA,2017,28689.617229
LVA,2018,30891.883835
LVA,2019,32825.168517
LVA,2020,32810.267063
LTU,2013,26721.601926
LTU,2014,28184.499091
LTU,2015,28834.457574
LTU,2016,30925.151813
LTU,2017,33761.906595
LTU,2018,36376.535744
LTU,2019,39992.555913
LTU,2020,40211.863803
CRI,2013,15542.368395
CRI,2014,16615.974075
CRI,2015,17649.314854
CRI,2016,19119.336147
CRI,2017,20368.230268
CRI,2018,21312.71338
CRI,2019,22739.241909
CRI,2020,21755.528069
